,Screen Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
52,BBC,Sun Apr 08 15:11:04 +0000 2018,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",0.0,0.0,0.0,1.0,54
53,BBC,Sun Apr 08 13:54:07 +0000 2018,?? Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,-0.202,0.0,0.189,0.811,55
54,BBC,Sun Apr 08 13:23:39 +0000 2018,"RT @BBCSport: What a nice surprise ??

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",0.875,0.393,0.0,0.607,56
55,BBC,Sun Apr 08 13:03:04 +0000 2018,? 'Surprise me'. https://t.co/Jo7illTafh,0.273,0.512,0.0,0.488,57
56,BBC,Sun Apr 08 11:00:15 +0000 2018,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/MGM0dpxlFH",-0.077,0.0,0.064,0.936,58
57,BBC,Sun Apr 08 10:15:06 +0000 2018,"RT @BBCSport: Beauty queen ?
Commonwealth Games weightlifting silver medallist ?

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…",0.586,0.213,0.0,0.787,59
58,BBC,Sun Apr 08 10:01:07 +0000 2018,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch… https://t.co/Q6S34uv5LX",0.382,0.12,0.0,0.88,60
59,BBC,Sun Apr 08 09:08:02 +0000 2018,"?? Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",0.0,0.0,0.0,1.0,61
60,BBC,Sun Apr 08 08:17:18 +0000 2018,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW,0.0,0.0,0.0,1.0,62
61,BBC,Sun Apr 08 08:08:07 +0000 2018,"Football, volleyball AND martial arts? ?????

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI",0.637,0.208,0.0,0.792,63
62,BBC,Sun Apr 08 07:02:06 +0000 2018,? Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU,0.361,0.217,0.0,0.783,64
63,BBC,Sat Apr 07 18:00:22 +0000 2018,??? @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU,0.572,0.252,0.0,0.748,65
64,BBC,Sat Apr 07 17:19:26 +0000 2018,"RT @CBeebiesHQ: Goodnight @ChrisEvans,? 

Chris reads Goodnight Goodnight Construction site tonight. ?? 

#BedtimeStory is at 6:50pm ?? htt…",0.0,0.0,0.0,1.0,66
65,BBC,Sat Apr 07 17:04:03 +0000 2018,?? Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5,-0.727,0.072,0.405,0.523,67
66,BBC,Sat Apr 07 16:00:23 +0000 2018,"? Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn",0.652,0.419,0.0,0.581,68
67,BBC,Sat Apr 07 15:01:03 +0000 2018,Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.… https://t.co/zI9pN0zSVo,0.691,0.241,0.0,0.759,69
68,BBC,Sat Apr 07 14:33:46 +0000 2018,"RT @BBCRadio2: ""The clunk of putting the cassette in, snapping it shut... oh wait I'm going to rewind to get to the start of the song. It's…",0.0,0.0,0.0,1.0,70
69,BBC,Sat Apr 07 14:00:31 +0000 2018,"?? Our pick of the most striking news photographs taken around the world recently.
? https://t.co/zPpuZq9hOC https://t.co/fYUTrG44Ra",0.0,0.0,0.0,1.0,71
70,BBC,Sat Apr 07 13:00:20 +0000 2018,How did this new mum survive in the chaos that followed Hurricane Maria? https://t.co/Nx7uFz1k56,-0.572,0.0,0.222,0.778,72
71,BBC,Sat Apr 07 12:07:08 +0000 2018,"For Dr Joel Salinas, music creates colours, numbers have personalities and another person's pain feels almost like… https://t.co/lrGhiKBaGZ",-0.296,0.098,0.154,0.748,73
72,BBC,Sat Apr 07 11:19:19 +0000 2018,"RT @bbcthree: 94-year-old Judo Jack says: ""Get off your butt and do something."" https://t.co/M9CzCtwSqe",0.0,0.0,0.0,1.0,74
73,BBC,Sat Apr 07 11:00:57 +0000 2018,RT @BBCR1: It's been one whole year of Sign Of The Times and we need to know whether @Harry_Styles finally let Chris Martin be head of his…,0.0,0.0,0.0,1.0,75
74,BBC,Sat Apr 07 11:00:18 +0000 2018,"What an inspiration! ? 

?? Fraser shed the pounds to pursue his wrestling dream, in memory of his mother. https://t.co/LWmuGo6dTN",0.69,0.251,0.0,0.749,76
75,BBC,Sat Apr 07 10:26:52 +0000 2018,"RT @BBCSport: It's a historic victory for Uganda! ? 

Earlier today they recorded their first ever victory at the Commonwealth games with a…",0.0,0.0,0.0,1.0,77
76,BBC,Sat Apr 07 10:05:06 +0000 2018,?? Did you know that cherries and strawberries represented the souls of men? Or that a dragonfly could be the devil… https://t.co/s9rFhv5wlu,0.0,0.0,0.0,1.0,78
77,BBC,Sat Apr 07 09:00:12 +0000 2018,"Losing your hair whilst going through cancer treatment can be distressing. 

This shop decided to try and do someth… https://t.co/mcOgFrRtdq",-0.866,0.0,0.363,0.637,79
78,BBC,Sat Apr 07 08:00:16 +0000 2018,?? This trash collecting robot can be controlled by anyone via the internet. https://t.co/N2gbeP2nIo,0.0,0.0,0.0,1.0,80
79,BBC,Sat Apr 07 07:54:05 +0000 2018,"RT @bbcgetinspired: 'Women don't just stay at home and look after the kids, we don't just do dance or gymnastics, we play tennis, football…",0.34,0.094,0.0,0.906,81
80,BBC,Sat Apr 07 07:03:06 +0000 2018,?? These baby red squirrels are too cute to handle. https://t.co/d2r7c8EyUh,0.459,0.231,0.0,0.769,82
81,BBC,Fri Apr 06 19:48:37 +0000 2018,"RT @bbcmusic: Jade, this was INCREDIBLE ?
#SoundsLikeFridayNight https://t.co/rSGnYVTFYu",0.0,0.0,0.0,1.0,83
82,BBC,Fri Apr 06 18:07:07 +0000 2018,? Modern life is a mystery. https://t.co/a4817Iugzz,0.0,0.0,0.0,1.0,84
83,BBC,Fri Apr 06 17:32:05 +0000 2018,"Tune in to #SLFN tonight for performances from @snowpatrol, @Meghan_Trainor, @yearsandyears and @halsey. ???

Sound… https://t.co/EFjiBk5upm",0.0,0.0,0.0,1.0,85
84,BBC,Fri Apr 06 16:13:08 +0000 2018,RT @bbcpointswest: ? Prince Harry and Meghan Markle arrive in Bath for the Invictus Games trials ? https://t.co/ywlHvaHt2z,0.0,0.0,0.0,1.0,86
85,BBC,Fri Apr 06 16:08:04 +0000 2018,"? If you're going to get dumped on TV, it might as well be via @KylieMinogue. 

#TheGNShow | 10.35pm | @BBCOne https://t.co/CgfsjKjeob",-0.153,0.096,0.124,0.78,87
86,BBC,Fri Apr 06 16:02:36 +0000 2018,"RT @BBCNewsround: Ever wondered why we cry when we chop onions? Now you'll have no excuse to avoid cooking dinner, sorry! ?https://t.co/SyX…",-0.778,0.047,0.332,0.621,88
87,BBC,Fri Apr 06 15:23:45 +0000 2018,"RT @BBCOne: MY OLD FRIEND.

#OrdealByInnocence #Sunshine https://t.co/vQBvcgLrCe",0.604,0.36,0.0,0.64,89
88,BBC,Fri Apr 06 15:22:01 +0000 2018,"? Two years ago @ShekuKM won @BBCYoungMus. 
Now he wants to inspire other young people to pick up an instrument too… https://t.co/fG0F3x2eDN",0.813,0.28,0.0,0.72,90
89,BBC,Fri Apr 06 15:20:18 +0000 2018,"RT @bbcgetinspired: She's only 11 years old, but @sport_wales' Anna Hursey is smashing it at #GC2018! ? 

? https://t.co/9sFYGzsgnQ #GetIns…",0.0,0.0,0.0,1.0,91
90,BBC,Fri Apr 06 15:02:33 +0000 2018,RT @bbcmusic: Counting down the seconds TBH ?@LittleMix https://t.co/6UTrz9gqQr,0.0,0.0,0.0,1.0,92
91,BBC,Fri Apr 06 15:02:05 +0000 2018,?? Hate food waste but love beer? https://t.co/IL9jmlaMjs,0.55,0.385,0.282,0.332,93
92,BBC,Fri Apr 06 14:30:39 +0000 2018,"RT @BBCRadio3: ""Stop being so selfish – this isn’t about you."" Harsh words - or tough love?
Zeynep, Jess and Sam discuss one teacher’s cont…",-0.585,0.13,0.31,0.559,94
93,BBC,Fri Apr 06 14:07:06 +0000 2018,"? ???
Saving animals using space technology. https://t.co/gAwJcD2I2A",0.0,0.0,0.0,1.0,95
